time,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
186,110.75505,110.73457,110.71411,110.693634,110.574036,110.19831,110.1625,110.30035,110.44714,110.4741,110.49919,110.2021,110.34889,110.42347,110.35538,110.28136,109.90562,109.86981,109.833984,110.09396,110.17424,110.19934,110.17888,110.1584,110.13794
187,113.75231,113.73184,113.71137,113.6909,113.57025,113.19084,113.15502,113.294685,113.443344,113.47085,113.49646,113.19644,113.3451,113.42073,113.352135,113.27756,112.89815,112.86233,112.826515,113.08959,113.171,113.19661,113.17614,113.15567,113.13521
188,113.74958,113.7291,113.70864,113.68818,113.56645,113.18337,113.14755,113.28902,113.43955,113.467606,113.49374,113.19077,113.34131,113.418,113.34889,113.273766,112.89068,112.85486,112.81904,113.08521,113.167755,113.19387,113.17341,113.15294,113.13247
189,113.74684,113.72638,113.70591,113.68544,113.56266,113.175896,113.14008,113.283356,113.43577,113.464355,113.491,113.18511,113.33751,113.41526,113.34565,113.26997,112.8832,112.84738,112.81157,113.080826,113.164505,113.19115,113.17068,113.15021,113.12974
190,113.74411,113.72365,113.70317,113.68271,113.55886,113.16843,113.1326,113.27769,113.43197,113.46112,113.488266,113.17944,113.333725,113.41253,113.3424,113.266174,112.87573,112.83991,112.8041,113.07645,113.16126,113.188416,113.16794,113.14748,113.127014
191,112.74139,112.72091,112.70045,112.67997,112.55507,112.16094,112.12513,112.272026,112.42818,112.45788,112.48553,112.173775,112.329926,112.409805,112.33916,112.26239,111.868256,111.83244,111.79662,112.07207,112.15802,112.18568,112.165215,112.14474,112.124275
192,112.73865,112.71818,112.69771,112.67724,112.551285,112.15347,112.11765,112.26636,112.42438,112.45463,112.482796,112.168106,112.32613,112.40707,112.33592,112.25859,111.86079,111.82497,111.789154,112.06769,112.15478,112.182945,112.162476,112.142006,112.121544
193,111.735916,111.71544,111.69498,111.674515,111.547485,111.146,111.11018,111.26069,111.420586,111.451385,111.48007,111.162445,111.32234,111.404335,111.33267,111.2548,110.85332,110.8175,110.78168,111.0633,111.15153,111.18021,111.159744,111.139275,111.118805
194,120.73318,120.712715,120.692245,120.671776,120.54369,120.13853,120.102715,120.25502,120.41679,120.44814,120.47733,120.15678,120.31854,120.401596,120.32943,120.25101,119.84584,119.81002,119.77421,120.05892,120.148285,120.17748,120.15701,120.13654,120.11607
195,115.730446,115.709984,115.68951,115.669044,115.539894,115.13106,115.09524,115.24936,115.413,115.4449,115.4746,115.151115,115.31476,115.398865,115.32618,115.24721,114.83837,114.80255,114.76672,115.05454,115.14505,115.17475,115.154274,115.13381,115.113335
196,117.72771,117.707245,117.68678,117.666306,117.5361,117.12358,117.08777,117.24369,117.40921,117.44165,117.47186,117.14545,117.31097,117.39613,117.322945,117.24342,116.83089,116.795074,116.759254,117.05016,117.1418,117.17201,117.15155,117.13107,117.11061
197,118.72498,118.70451,118.684044,118.663574,118.53232,118.11611,118.08029,118.23803,118.40541,118.43841,118.46913,118.139786,118.30717,118.3934,118.319695,118.239624,117.82342,117.7876,117.751785,118.04578,118.13856,118.16928,118.14881,118.12834,118.10788
198,116.72225,116.701775,116.68131,116.66085,116.52852,116.10864,116.07282,116.23236,116.40162,116.43517,116.46639,116.13412,116.303375,116.39067,116.31645,116.23583,115.81595,115.78013,115.74431,116.0414,116.13531,116.16654,116.14608,116.12561,116.10514
199,113.71951,113.69904,113.67858,113.65811,113.52473,113.10116,113.06535,113.2267,113.39782,113.43192,113.46367,113.128456,113.299576,113.38793,113.3132,113.23204,112.80847,112.77265,112.73684,113.037025,113.13207,113.16382,113.14335,113.12288,113.10241
200,114.71678,114.69632,114.67584,114.65538,114.520935,114.09369,114.05787,114.22103,114.394035,114.42868,114.46094,114.12279,114.29579,114.3852,114.30997,114.22824,113.801,113.76518,113.72936,114.032646,114.12882,114.16109,114.14061,114.12015,114.09967
201,112.71404,112.69358,112.67311,112.65264,112.517136,112.08621,112.0504,112.21537,112.39024,112.42543,112.4582,112.11713,112.292,112.38247,112.306725,112.22445,111.793526,111.757706,111.72189,112.02827,112.12558,112.15835,112.13788,112.11741,112.09695
202,112.71132,112.69085,112.67038,112.64991,112.51334,112.07874,112.04292,112.2097,112.386444,112.422195,112.45547,112.11146,112.2882,112.37974,112.303474,112.220665,111.78606,111.75024,111.714424,112.02388,112.122345,112.15562,112.13515,112.11468,112.094215
203,112.70859,112.68811,112.66765,112.64718,112.50955,112.07127,112.03545,112.20404,112.38265,112.418945,112.45273,112.1058,112.28441,112.37701,112.30023,112.216866,111.77859,111.74277,111.70695,112.0195,112.119095,112.15288,112.132416,112.111946,112.09148
204,111.70585,111.68538,111.66492,111.64445,111.50576,111.0638,111.027985,111.19837,111.37885,111.4157,111.450005,111.10013,111.28061,111.37427,111.29699,111.21307,110.77111,110.73528,110.69948,111.01512,111.11585,111.150154,111.129684,111.10921,111.088745
